player_name,team,raptor_box_offense,raptor_box_defense.raptor_box_total,predator_offense,predator_defense,predator_total
Alex Abrines,OKC,-3.215683211,1.07839855,-2.137284661,-4.577677599,1.543281733,-3.034395865
Quincy Acy,PHO,-5.74131663,3.253365283,-2.487951347,-5.877810864,2.495748342,-3.382062522
Jaylen Adams,ATL,-2.679919718,-4.592001676,-7.271921394,-2.023145309,-4.304853077,-6.327998386
Steven Adams,OKC,-1.260986814,2.230359714,0.9693729,-5.28013449,0.1557537,-5.12438079
Steven Adams,OKC,-0.980854316,2.017711836,1.03685752,-0.170328941,3.133771762,2.963442822
Bam Adebayo,MIA,-1.952989038,2.562255537,0.609266499,-2.152282678,2.278351869,0.126069191
Deng Adel,CLE,-6.123817445,0.106191641,-6.017625804,-6.224152153,-2.111308565,-8.335460717
DeVaughn Akoon-Purcell,DEN,-2.930857794,-1.704815334,-4.635673128,-1.262366442,0.66152002,-0.600846423
LaMarcus Aldridge,SAS,1.638492572,0.812612298,2.451104871,-1.577895045,5.142340321,3.564445276
LaMarcus Aldridge,SAS,0.556707957,1.883612815,2.440320772,0.797585745,0.848061568,1.645647313
Rawle Alkins,CHI,-4.635093214,-1.942549105,-6.577642319,-5.339835045,-3.413978187,-8.753813232
Grayson Allen,UTA,-7.044635781,-6.919957739,-13.96459352,-8.832492042,-8.682235554,-17.5147276
Grayson Allen,UTA,-4.214446774,-4.62088345,-8.835330224,-3.970136759,-4.558908137,-8.529044896
Jarrett Allen,BRK,0.58301727,-9.222760829,-8.639743558,-3.27897861,-7.242623575,-10.52160218
Jarrett Allen,BRK,-2.239966457,-2.144710015,-4.384676471,-1.515219146,-1.770966462,-3.286185608
Kadeem Allen,NYK,1.660237269,-0.735413113,0.924824156,1.129782747,-1.333298032,-0.203515285
Al-Farouq Aminu,POR,-0.772842293,-0.486825909,-1.259668203,-1.023038546,-0.777889953,-1.8009285
Al-Farouq Aminu,POR,-0.451814907,1.058846079,0.607031172,0.453090634,0.99128424,1.444374874
Justin Anderson,ATL,-2.422407737,-0.407855849,-2.830263586,-1.582505321,-1.319524592,-2.902029913
Kyle Anderson,MEM,-1.926641189,2.072068956,0.145427767,-2.713379751,2.561588579,-0.151791172
Ryan Anderson,PHO,-2.225289848,-2.176216468,-4.401506316,-2.183460961,-2.721894367,-4.905355328
Ryan Anderson,MIA,-4.901807395,-4.569169369,-9.470976764,-3.749130152,-4.981757007,-8.730887159
Ike Anigbogu,IND,-22.88766139,-36.40977098,-59.29743237,-13.64704612,-22.5906831,-36.23772923
Giannis Antetokounmpo,MIL,2.789067268,4.202335754,6.991403022,4.489336442,4.141307529,8.630643971
Giannis Antetokounmpo,MIL,4.601266305,2.164171427,6.765437732,4.25709844,2.499310333,6.756408773
Kostas Antetokounmpo,DAL,-13.95053998,25.44575147,11.49521149,-11.63720212,17.83794587,6.200743745
Carmelo Anthony,HOU,-1.461868056,-2.625549727,-4.087417782,-1.13155602,-2.095680492,-3.227236512
OG Anunoby,TOR,-2.457608647,-0.142668547,-2.600277194,-3.215638423,-0.129332729,-3.344971152
Ryan Arcidiacono,CHI,-0.289504821,-0.628646506,-0.918151326,-1.028346758,-0.310010304,-1.338357063
Trevor Ariza,PHO,-0.825901944,-2.060813451,-2.886715395,-1.016008519,-1.240490466,-2.256498984
Trevor Ariza,WAS,0.235441601,-1.700555922,-1.465114321,0.663967673,-1.607898973,-0.9439313
D.J. Augustin,ORL,2.777259666,-1.312345171,1.464914495,3.442936166,-4.443668821,-1.000732655
D.J. Augustin,ORL,1.787324804,-2.347935981,-0.560611178,1.138018305,-2.084138279,-0.946119974
Deandre Ayton,PHO,-1.015468732,-1.923837901,-2.939306633,-0.888797542,-0.846975124,-1.735772666
Dwayne Bacon,CHA,0.131839419,-3.002659726,-2.870820307,0.045902856,-2.799223317,-2.753320461
Marvin Bagley III,SAC,-1.091444799,-1.590524666,-2.681969464,-0.962051503,-2.119550379,-3.081601882
Ron Baker,NYK,-2.617110032,4.704129656,2.087019624,-4.539080079,3.637732475,-0.901347604
Ron Baker,WAS,-7.871005713,-2.594267567,-10.46527328,-9.408843982,-3.288405549,-12.69724953
Wade Baldwin IV,POR,-9.023446551,-4.56769739,-13.59114394,-10.65327595,-5.076884613,-15.73016056
Lonzo Ball,LAL,-0.651188903,0.630947325,-0.020241578,-1.184150692,1.555231038,0.371080346
Mo Bamba,ORL,-4.073310003,-0.631145531,-4.704455534,-4.329425476,-1.296610569,-5.626036045
J.J. Barea,DAL,1.859356868,-1.044350095,0.815006773,1.4590606,-1.438768466,0.020292134
Harrison Barnes,DAL,-0.579934595,0.094689373,-0.485245222,-0.40245682,0.1628014,-0.23965542
Harrison Barnes,SAC,-1.073404162,-1.719900618,-2.79330478,-1.31245275,-1.632658861,-2.945111611
Will Barton,DEN,-1.531403607,-1.298329865,-2.829733472,-5.802281801,-3.493310431,-9.295592232
Will Barton,DEN,-1.262454503,-2.446768195,-3.709222697,-1.09160811,-2.032479484,-3.124087594
Keita Bates-Diop,MIN,-3.828133194,-0.185885216,-4.014018411,-3.250541094,-0.690658458,-3.941199553
Nicolas Batum,CHA,-0.862803955,-0.374062454,-1.23686641,-0.567228905,-0.230240085,-0.79746899
Jerryd Bayless,MIN,-1.571622251,-5.632175467,-7.203797718,-1.306543212,-5.091015041,-6.397558254
Aron Baynes,BOS,-3.582142182,8.021155987,4.439013805,-4.19253343,5.402010146,1.209476717
Aron Baynes,BOS,-1.910178352,3.115341049,1.205162697,-1.694266199,2.657990242,0.963724042
Kent Bazemore,ATL,-1.780192769,0.40205025,-1.378142519,-2.47957797,0.401210263,-2.078367707
Bradley Beal,WAS,4.020054457,-0.402697351,3.617357107,4.347520966,-0.622754217,3.724766749
Malik Beasley,DEN,0.521428349,-2.396237199,-1.87480885,-2.018777998,-4.412783677,-6.431561675
Malik Beasley,DEN,0.295499791,-0.682340534,-0.386840743,0.642984353,-1.011886326,-0.368901973
Michael Beasley,LAL,-1.444108636,-3.084592933,-4.528701569,-2.245294143,-2.974412428,-5.219706571
Marco Belinelli,SAS,-1.48726755,-3.6069985,-5.09426605,-0.849247788,-5.214140577,-6.063388366
Marco Belinelli,SAS,0.57989718,-2.150145717,-1.570248536,0.382586532,-2.3631765,-1.980589968
Jordan Bell,GSW,0.406364807,-0.697050643,-0.290685837,-0.042541101,-2.206329054,-2.248870155
Jordan Bell,GSW,-3.047364506,1.142794629,-1.904569877,-2.512940336,0.139444484,-2.373495852
DeAndre' Bembry,ATL,-3.059592004,0.539160574,-2.52043143,-2.583355836,0.605894158,-1.977461677
Dragan Bender,PHO,-4.181632064,-2.007447424,-6.189079488,-4.326546341,-1.878977228,-6.205523569
Davis Bertans,SAS,-1.008938117,-1.515552588,-2.524490705,-1.339075355,-2.469239917,-3.808315272
Davis Bertans,SAS,1.312941707,1.309772421,2.622714127,1.988265291,0.644357104,2.632622395
Dairis Bertans,NOP,-5.347416385,-5.327659,-10.67507539,-4.934067852,-5.509982831,-10.44405068
Patrick Beverley,LAC,0.730704992,4.593092651,5.323797643,0.237080077,6.124756667,6.361836743
Patrick Beverley,LAC,0.553789583,0.993489583,1.547279166,0.658631014,1.670259444,2.328890458
Khem Birch,ORL,-1.896764081,1.988216624,0.091452543,-2.1952199,2.329571991,0.134352091
Khem Birch,ORL,0.283549969,3.717486921,4.00103689,-0.390104667,2.192523074,1.802418407
Bismack Biyombo,CHA,-3.312341907,-1.527734465,-4.840076372,-3.433957673,-1.941505523,-5.375463196
Nemanja Bjelica,SAC,0.622524622,1.326871326,1.949395948,0.923401496,0.988696431,1.912097927
Antonio Blakeney,CHI,-3.674307737,-4.368782941,-8.043090678,-3.451717236,-5.196974336,-8.648691572
Eric Bledsoe,MIL,0.831511598,2.319874897,3.151386495,1.919078585,2.699418846,4.618497431
Eric Bledsoe,MIL,3.148722794,2.654239213,5.802962006,3.194151134,2.304647485,5.49879862
Jaron Blossomgame,CLE,-2.184054742,-0.28281346,-2.466868202,-1.633646899,-1.741398672,-3.375045571
Bogdan Bogdanovic,SAC,2.159103035,-0.261058286,1.898044749,1.494484554,-0.109787958,1.384696597
Bojan Bogdanovic,IND,0.086883233,-3.050401817,-2.963518584,1.795368732,-2.792294873,-0.996926141
Bojan Bogdanovic,IND,0.670177676,-0.564455149,0.105722528,0.487538405,-0.466133656,0.021404749
Andrew Bogut,GSW,-0.342380277,1.202197905,0.859817628,-1.778973052,3.105843727,1.326870675
